Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	1	Erythromycin	0.15	Tolfenamic Acid	640	0.0148952425316941	PM
community	1	Erythromycin	0	Tolfenamic Acid	0	1.02994427106536	PM
community	1	Erythromycin	0	Tolfenamic Acid	10	0.951271992674385	PM
community	1	Erythromycin	0	Tolfenamic Acid	20	0.829943949436118	PM
community	1	Erythromycin	0	Tolfenamic Acid	40	0.598171098873621	PM
community	1	Erythromycin	0	Tolfenamic Acid	80	0.312428883655483	PM
community	1	Erythromycin	0	Tolfenamic Acid	160	0.28697743029609	PM
community	1	Erythromycin	0	Tolfenamic Acid	320	0.0155365360232207	PM
community	2	Erythromycin	3.15	Dicumarol	0	0.00788994821734532	PM
community	2	Erythromycin	3.15	Dicumarol	2.5	0.00977733306576684	PM
community	2	Erythromycin	3.15	Dicumarol	5	0.0118429366493485	PM
community	2	Erythromycin	3.15	Dicumarol	10	0.0104657656149511	PM
community	2	Erythromycin	3.15	Dicumarol	20	0.00674783103309913	PM
community	2	Erythromycin	3.15	Dicumarol	40	0.00564611233526658	PM
community	2	Erythromycin	3.15	Dicumarol	80	0.0020762353990308	PM
community	2	Erythromycin	3.15	Dicumarol	160	0.00374691624325831	PM
community	2	Erythromycin	2.65	Dicumarol	0	0.00956333783059878	PM
community	2	Erythromycin	2.65	Dicumarol	2.5	0.0055226576011643104	PM
community	2	Erythromycin	2.65	Dicumarol	5	0.00812481960529859	PM
community	2	Erythromycin	2.65	Dicumarol	10	0.0103281326439193	PM
community	2	Erythromycin	2.65	Dicumarol	20	0.00977729482376322	PM
community	2	Erythromycin	2.65	Dicumarol	40	0.0128231904514238	PM
community	2	Erythromycin	2.65	Dicumarol	80	0.00662686706030483	PM
community	2	Erythromycin	2.65	Dicumarol	160	0.00165247521846462	PM
community	2	Erythromycin	2.15	Dicumarol	0	0.0109351293461703	PM
community	2	Erythromycin	2.15	Dicumarol	2.5	0.00664419929001686	PM
community	2	Erythromycin	2.15	Dicumarol	5	0.0114297700422278	PM
community	2	Erythromycin	2.15	Dicumarol	10	0.0136330448388449	PM
community	2	Erythromycin	2.15	Dicumarol	20	0.0162492185485572	PM
community	2	Erythromycin	2.15	Dicumarol	40	0.0216749415520179	PM
community	2	Erythromycin	2.15	Dicumarol	80	0.0351137694827466	PM
community	2	Erythromycin	2.15	Dicumarol	160	0.00413120716716337	PM
community	2	Erythromycin	1.65	Dicumarol	0	0.0144591868430681	PM
community	2	Erythromycin	1.65	Dicumarol	2.5	0.0216199255370826	PM
community	2	Erythromycin	1.65	Dicumarol	5	0.0185473133772383	PM
community	2	Erythromycin	1.65	Dicumarol	10	0.0298816897573476	PM
community	2	Erythromycin	1.65	Dicumarol	20	0.118078978823231	PM
community	2	Erythromycin	1.65	Dicumarol	40	0.177634194886858	PM
community	2	Erythromycin	1.65	Dicumarol	80	0.149679737560423	PM
community	2	Erythromycin	1.65	Dicumarol	160	0.0141831943029356	PM
community	2	Erythromycin	1.15	Dicumarol	0	0.026301664588373	PM
community	2	Erythromycin	1.15	Dicumarol	2.5	0.0240389329927413	PM
community	2	Erythromycin	1.15	Dicumarol	5	0.0381928782381207	PM
community	2	Erythromycin	1.15	Dicumarol	10	0.143621974734844	PM
community	2	Erythromycin	1.15	Dicumarol	20	0.270580646505925	PM
community	2	Erythromycin	1.15	Dicumarol	40	0.363115243329563	PM
community	2	Erythromycin	1.15	Dicumarol	80	0.347894529062027	PM
community	2	Erythromycin	1.15	Dicumarol	160	0.250385386351889	PM
community	2	Erythromycin	0.65	Dicumarol	0	0.108932556150242	PM
community	2	Erythromycin	0.65	Dicumarol	2.5	0.301236046915403	PM
community	2	Erythromycin	0.65	Dicumarol	5	0.418608329509925	PM
community	2	Erythromycin	0.65	Dicumarol	10	0.494069630848979	PM
community	2	Erythromycin	0.65	Dicumarol	20	0.548325014582151	PM
community	2	Erythromycin	0.65	Dicumarol	40	0.586882132312932	PM
community	2	Erythromycin	0.65	Dicumarol	80	0.345059498741722	PM
community	2	Erythromycin	0.65	Dicumarol	160	0.0359408292950573	PM
community	2	Erythromycin	0.15	Dicumarol	0	0.886801967512843	PM
community	2	Erythromycin	0.15	Dicumarol	2.5	0.911661124677798	PM
community	2	Erythromycin	0.15	Dicumarol	5	0.910213569161571	PM
community	2	Erythromycin	0.15	Dicumarol	10	0.820983616838833	PM
community	2	Erythromycin	0.15	Dicumarol	20	0.759567800347677	PM
community	2	Erythromycin	0.15	Dicumarol	40	0.857476247979111	PM
community	2	Erythromycin	0.15	Dicumarol	80	0.620346371211495	PM
community	2	Erythromycin	0.15	Dicumarol	160	0.226703629600423	PM
community	2	Erythromycin	0	Dicumarol	0	1.1	PM
community	2	Erythromycin	0	Dicumarol	2.5	1.1	PM
community	2	Erythromycin	0	Dicumarol	5	1.05701337791331	PM
community	2	Erythromycin	0	Dicumarol	10	0.949056984640738	PM
community	2	Erythromycin	0	Dicumarol	20	0.883160029611016	PM
